service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr1033_31,20260706,20260712,1,1,1,1,1,1,1
i-tr1033_32,20260713,20260719,1,1,1,1,1,1,1
i-tr1033_33,20260720,20260726,1,1,1,1,1,1,1
i-tr1033_34,20260727,20260802,1,1,1,1,1,1,1
i-tr1033_35,20260803,20260809,1,1,1,1,1,1,1
i-tr1033_36,20260810,20260816,1,1,1,1,1,1,1
i-tr1033_37,20260817,20260823,1,1,1,1,1,1,1
i-tr1033_38,20260824,20260830,1,1,1,1,1,1,1
i-tr1033_39,20260831,20260906,1,1,1,1,1,1,1
i-tr1033_4,20251229,20260104,1,1,1,1,1,1,1
i-tr1033_40,20260907,20260913,1,1,1,1,1,1,1
i-tr1033_41,20260914,20260920,1,1,1,1,1,1,1
i-tr1033_42,20260921,20260927,1,1,1,1,1,1,1
i-tr1033_43,20260928,20261004,1,1,1,1,1,1,1
i-tr1033_44,20261005,20261011,1,1,1,1,1,1,1
i-tr1033_45,20261012,20261018,1,1,1,1,1,1,1
i-tr1033_46,20261019,20261025,1,1,1,1,1,1,1
i-tr1033_47,20261026,20261101,1,1,1,1,1,1,1
i-tr1033_48,20261102,20261108,1,1,1,1,1,1,1
i-tr1033_49,20261109,20261115,1,1,1,1,1,1,1
i-tr1033_5,20260105,20260111,1,1,1,1,1,1,1
i-tr1033_50,20261116,20261122,1,1,1,1,1,1,1
i-tr1033_51,20261123,20261129,1,1,1,1,1,1,1
i-tr1033_52,20261130,20261206,1,1,1,1,1,1,1
i-tr1033_53,20261207,20261213,1,1,1,1,1,1,0
i-tr1033_6,20260112,20260118,1,1,1,1,1,1,1
i-tr1033_7,20260119,20260125,1,1,1,1,1,1,1
i-tr1033_8,20260126,20260201,1,1,1,1,1,1,1
i-tr1033_9,20260202,20260208,1,1,1,1,1,1,1
i-tr1034_21,20260427,20260503,1,0,0,0,0,0,0
i-tr1034_29,20260622,20260628,0,0,0,1,0,0,0
i-tr1034_4,20251229,20260104,0,0,0,0,1,0,0
i-tr1034ar_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1034ar_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1034ar_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1034ar_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1034ar_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1034ar_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1034ar_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1034ar_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1034ar_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1034ar_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1034ar_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1034ar_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1034ar_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1034ar_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1034ar_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1034ar_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1034ar_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1034ar_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1034ar_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1034ar_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1034ar_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1034ar_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1034ar_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1034ar_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1034ar_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1034ar_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1034ar_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1034ar_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1034ar_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1034ar_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1034ar_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1034ar_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1034ar_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1034ar_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1034ar_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1034ar_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1034ar_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1034ar_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1034ar_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1034ar_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1034ar_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1034ar_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1034ar_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1034ar_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1034ar_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1034ar_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1034ar_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1034ar_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1034ar_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1034ar_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1034ar_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1034ar_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1034as_18,20260406,20260412,1,0,0,0,0,0,0
i-tr1035_18,20260406,20260412,1,0,0,0,0,0,0
i-tr1035av_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1035av_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1035av_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1035av_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1035av_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1035av_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1035av_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1035av_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1035av_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1035av_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1035av_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1035av_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1035av_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1035av_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1035av_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1035av_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1035av_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1035av_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1035av_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1035av_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1035av_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1035av_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1035av_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1035av_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1035av_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1035av_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1035av_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1035av_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1035av_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1035av_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1035av_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1035av_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1035av_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1035av_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1035av_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1035av_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1035av_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1035av_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1035av_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1035av_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1035av_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1035av_48,20261102,20261108,1,1,1,1,1,0,0
